target_name,width,seed,optimizer,learning_rate,epochs,activation,n_train,n_test,final_train_loss,final_test_loss,relative_movement,runtime_seconds
sin_low,10,0,adam,0.001,500,relu,100,1000,0.3741876184940338,0.40079134702682495,0.33892618006142156,2.7090796249999998
sin_low,100,0,adam,0.001,500,relu,100,1000,0.06611012667417526,0.0706305280327797,0.5192713349643195,1.5851464169999998
