target_name,width,seed,epoch,train_loss,test_loss
sin_low,10,0,0,0.49011313915252686,0.48701003193855286
sin_low,10,0,50,0.4422140419483185,0.4578973352909088
sin_low,10,0,100,0.4110984206199646,0.4362836480140686
sin_low,10,0,150,0.3879542946815491,0.4182131290435791
sin_low,10,0,200,0.3789970576763153,0.41002145409584045
sin_low,10,0,250,0.3772118389606476,0.4072101414203644
sin_low,10,0,300,0.3766312599182129,0.40609392523765564
sin_low,10,0,350,0.37606143951416016,0.4050033688545227
sin_low,10,0,400,0.37547266483306885,0.4036175310611725
sin_low,10,0,450,0.374846875667572,0.4021657109260559
sin_low,10,0,500,0.3741876184940338,0.40079134702682495
sin_low,100,0,0,0.5095298886299133,0.5023802518844604
sin_low,100,0,50,0.36751091480255127,0.40893080830574036
sin_low,100,0,100,0.33693408966064453,0.3767813742160797
sin_low,100,0,150,0.2997254729270935,0.33515816926956177
sin_low,100,0,200,0.25907453894615173,0.28796103596687317
sin_low,100,0,250,0.21827338635921478,0.24134813249111176
sin_low,100,0,300,0.178628072142601,0.19602125883102417
sin_low,100,0,350,0.14282187819480896,0.1554984152317047
sin_low,100,0,400,0.11232173442840576,0.12167242169380188
sin_low,100,0,450,0.08704772591590881,0.09362918883562088
sin_low,100,0,500,0.06611012667417526,0.0706305280327797
